id,timestamp,target,temperature_forecast,solar_forecast,holiday
area_001,2026-01-01 00:00:00,4304.26,10.24,0.0,0
area_001,2026-01-01 00:30:00,4390.23,10.25,0.0,0
area_001,2026-01-01 01:00:00,4232.35,12.75,0.0,0
area_001,2026-01-01 01:30:00,4280.61,13.93,0.0,0
area_001,2026-01-01 02:00:00,4353.2,12.59,0.0,0
area_001,2026-01-01 02:30:00,4466.67,14.02,0.0,0
area_001,2026-01-01 03:00:00,4409.95,15.98,0.0,0
area_001,2026-01-01 03:30:00,4447.76,16.35,0.0,0
area_001,2026-01-01 04:00:00,4368.12,17.21,0.0,0
area_001,2026-01-01 04:30:00,4386.36,17.04,0.0,0
area_001,2026-01-01 05:00:00,4466.2,18.8,0.0,0
area_001,2026-01-01 05:30:00,4458.72,18.96,0.0,0
area_001,2026-01-01 06:00:00,4478.37,18.5,0.0,0
area_001,2026-01-01 06:30:00,4445.22,19.31,0.1305,0
area_001,2026-01-01 07:00:00,4441.45,18.62,0.2588,0
area_001,2026-01-01 07:30:00,4419.55,17.26,0.3827,0
area_001,2026-01-01 08:00:00,4418.52,17.81,0.5,0
area_001,2026-01-01 08:30:00,4418.71,16.2,0.6088,0
area_001,2026-01-01 09:00:00,4272.38,17.02,0.7071,0
area_001,2026-01-01 09:30:00,4237.78,15.53,0.7934,0
area_001,2026-01-01 10:00:00,4368.82,14.58,0.866,0
area_001,2026-01-01 10:30:00,4366.46,13.28,0.9239,0
area_001,2026-01-01 11:00:00,4230.19,13.85,0.9659,0
area_001,2026-01-01 11:30:00,4193.27,11.75,0.9914,0
area_001,2026-01-01 12:00:00,4271.17,10.53,1.0,0
area_001,2026-01-01 12:30:00,4295.97,9.58,0.9914,0
area_001,2026-01-01 13:00:00,4315.03,9.29,0.9659,0
area_001,2026-01-01 13:30:00,4251.16,8.2,0.9239,0
area_001,2026-01-01 14:00:00,4204.71,7.33,0.866,0
area_001,2026-01-01 14:30:00,4177.32,6.51,0.7934,0
area_001,2026-01-01 15:00:00,4197.47,7.12,0.7071,0
area_001,2026-01-01 15:30:00,4213.01,4.42,0.6088,0
area_001,2026-01-01 16:00:00,4185.35,3.79,0.5,0
area_001,2026-01-01 16:30:00,4332.33,3.12,0.3827,0
area_001,2026-01-01 17:00:00,4312.45,3.95,0.2588,0
area_001,2026-01-01 17:30:00,4287.66,4.19,0.1305,0
area_001,2026-01-01 18:00:00,4221.2,3.16,0.0,0
area_001,2026-01-01 18:30:00,4311.51,2.67,0.0,0
area_001,2026-01-01 19:00:00,4305.71,2.92,0.0,0
area_001,2026-01-01 19:30:00,4286.15,4.46,0.0,0
area_001,2026-01-01 20:00:00,4328.96,5.03,0.0,0
area_001,2026-01-01 20:30:00,4312.65,5.48,0.0,0
area_001,2026-01-01 21:00:00,4341.44,5.22,0.0,0
area_001,2026-01-01 21:30:00,4338.57,6.76,0.0,0
area_001,2026-01-01 22:00:00,4339.47,7.56,0.0,0
area_001,2026-01-01 22:30:00,4256.56,8.6,0.0,0
area_001,2026-01-01 23:00:00,4347.78,10.14,0.0,0
